block,plot,plant_num,spp_mix,plot_type,mix_type,species1,species2,mass_Sp,mass,bag_wt,true_wt,th,cd_fr,bc_ram_num,stem_num,leaf_num,sh,alive
1,24,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,PEVI,44.26,41.73,2.53,NA,NA,NA,NA,NA,NA,NA
1,24,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,ACAM,48.2,41.73,6.47,NA,NA,NA,NA,NA,NA,NA
1,25,NA,TYPHA,CONTROL,CONTROL,TYPHA,TYPHA,TYPHA,454.11,41.73,412.38,NA,NA,NA,50,NA,NA,Y
2,1,1,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,2,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,3,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,4,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,5,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,6,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,7,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,8,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,9,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,10,SYPU,MONO,MONO_B,SYPU,SYPU,SYPU,0,0,0,0,0,0,0,0,0,N
2,1,NA,SYPU,MONO,MONO_B,SYPU,SYPU,TYPHA,537.3,41.73,495.57,NA,NA,NA,52,NA,NA,Y
2,2,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,TYPHA,570.73,41.73,529,NA,NA,NA,80,NA,NA,NA
2,2,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,PEVI,45.91,41.73,4.18,NA,NA,NA,NA,NA,NA,NA
2,2,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,ACAM,52.15,41.73,10.42,NA,NA,NA,NA,NA,NA,NA
2,3,1,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.58,5.43,0.15,12,1,2.5,1,1,0,Y
2,3,2,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.59,5.43,0.16,34,13,3,1,2,0,Y
2,3,3,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.86,5.43,0.43,46,3,3,1,2,0,Y
2,3,4,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.64,5.43,0.21,44,10,2.5,1,2,0,Y
2,3,5,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.96,5.43,0.53,52,20,3,1,2,0,Y
2,3,6,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.69,5.43,0.26,28,27,2.5,1,2,0,Y
2,3,7,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.77,5.43,0.34,34,29.5,3,1,2,0,Y
2,3,8,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.67,5.43,0.24,35,9,3,1,2,0,Y
2,3,9,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.72,5.43,0.29,25,2,2.5,1,2,0,Y
2,3,10,PEVI,MONO,MONO_A,PEVI,PEVI,PEVI,5.85,5.43,0.42,43,3.5,3,1,2,0,Y
2,3,NA,PEVI,MONO,MONO_A,PEVI,PEVI,TYPHA,488.73,41.73,447,NA,NA,NA,81,NA,NA,Y
2,4,1,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.42,5.43,0.99,66.5,22,4.5,1,5,0,Y
2,4,2,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.55,5.43,1.12,59,12,5.5,3,11,0,Y
2,4,3,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.3,5.43,0.87,57,18,4.5,1,6,0,Y
2,4,4,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,7.53,5.43,2.1,47,18,4.5,2,10,0,Y
2,4,5,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.25,5.43,0.82,65,22,5.5,1,7,0,Y
2,4,6,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.31,5.43,0.88,58,39,4.5,1,6,0,Y
2,4,7,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.31,5.43,0.88,66,17,45,1,5,0,Y
2,4,8,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,7.14,5.43,1.71,74,38,9.5,3,11,0,Y
2,4,9,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,7.01,5.43,1.58,67,49,5.5,1,7,0,Y
2,4,10,ACAM,MONO,MONO_A,ACAM,ACAM,ACAM,6.76,5.43,1.33,58,25,5,1,6,0,Y
2,4,NA,ACAM,MONO,MONO_A,ACAM,ACAM,TYPHA,593,41.73,551.27,NA,NA,NA,109,NA,NA,Y
2,6,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,TYPHA,466.22,41.73,424.49,NA,NA,NA,41,NA,NA,NA
2,6,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,SALA,82.82,41.73,41.09,NA,NA,NA,NA,NA,NA,NA
2,6,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,SPEU,87.56,41.73,45.83,NA,NA,NA,NA,NA,NA,NA
2,7,1,SALA,MONO,MONO_A,SALA,SALA,SALA,8.08,5.43,2.65,50,13,3,5,20,1,Y
2,7,2,SALA,MONO,MONO_A,SALA,SALA,SALA,11.97,5.43,6.54,59,20,1,4,22,3,Y
2,7,3,SALA,MONO,MONO_A,SALA,SALA,SALA,8.6,5.43,3.17,42,NA,0,4,13,1,Y
